geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17119400802,6573,1575,422,2990,742,1215,150,2228,591,2819,6401,1508,241,2846,904,1283,283,1921,803,2724,5892,1710,221,2668,443,823,168,1992,796,2788
17119400801,1735,606,96,961,372,38,66,717,85,802,1932,523,56,1001,487,71,74,689,95,784,1834,555,67,978,280,315,29,704,111,815
17119400700,1656,368,109,685,157,658,285,289,378,668,1951,359,201,821,181,782,215,322,479,802,2040,605,187,933,110,811,245,374,475,849
17119400600,3492,596,199,1592,333,1021,251,857,675,1531,3040,529,278,1261,149,1206,341,604,646,1251,2271,607,163,1256,167,545,365,508,721,1229
17119400200,4287,849,221,1977,345,1064,469,1209,562,1771,4234,760,243,2002,394,1221,284,979,708,1687,4470,970,311,1897,198,1133,272,982,719,1701
17119400102,6180,866,404,3203,572,1291,193,1772,798,2570,4771,965,313,2382,690,908,271,1251,846,2097,4928,953,104,2679,261,1245,320,944,1050,1994
17119400101,2912,497,113,1529,359,243,119,943,245,1188,2596,605,133,1534,422,368,185,791,343,1134,2851,749,67,1288,189,313,135,867,359,1226
17117957200,4695,1106,229,2340,950,537,158,1614,516,2130,4717,1197,150,2203,852,744,306,1514,672,2186,4618,1322,139,2182,556,774,107,1382,626,2008
17117957100,2804,578,170,1430,426,346,123,1023,222,1245,2638,634,36,1359,461,212,182,861,151,1012,2835,861,56,1338,371,257,97,923,293,1216
17117957000,3752,882,183,1890,478,395,209,1340,266,1606,3866,916,200,1734,584,779,149,1254,260,1514,3602,1002,175,1700,335,720,489,1170,308,1478
17117956900,3300,680,202,1847,569,584,145,1107,345,1452,3772,897,173,1812,696,667,198,1160,394,1554,3377,956,106,1650,432,503,210,1060,458,1518
17117956800,3232,1268,143,1269,500,224,174,889,118,1007,2639,710,149,1322,432,445,177,913,207,1120,2552,764,36,1241,355,296,184,821,222,1043
17117956700,4414,885,209,2184,634,418,223,1429,379,1808,4151,1104,270,2276,733,342,216,1422,316,1738,4009,967,108,2032,395,516,337,1197,342,1539
17117956600,4824,976,153,2392,838,441,109,1632,258,1890,4793,953,202,2453,884,350,135,1472,277,1749,4669,1079,127,2469,582,415,246,1446,371,1817
17117956500,2548,579,60,1275,494,178,215,808,160,969,2731,677,105,1299,672,144,112,952,84,1035,2395,847,34,1155,423,272,208,921,89,1010
17117956400,5272,1198,152,2732,1036,707,257,1461,797,2257,5350,1433,403,2729,1020,841,420,1417,826,2244,5100,1581,112,2082,934,1054,301,1389,711,2100
17117956300,3369,549,47,1859,538,136,196,968,82,1050,3290,932,151,1769,788,304,48,1097,155,1252,3162,905,65,1542,581,105,262,991,113,1104
17117956200,2825,615,78,1413,322,597,134,809,275,1084,2214,585,102,1175,465,214,145,786,172,958,2801,826,79,1167,282,530,202,845,298,1143
17117956100,3605,809,111,1872,439,417,165,1085,372,1457,3266,864,88,1524,432,439,314,925,374,1299,3010,869,60,1404,352,294,341,932,320,1252
17117956000,3340,677,109,1749,378,556,210,1027,389,1416,3418,744,217,1754,551,248,174,952,369,1321,3113,769,93,1491,343,339,208,909,440,1349
17115003100,2236,181,78,644,105,822,135,133,453,586,2114,205,118,583,178,1097,283,116,551,667,2241,182,168,604,55,714,318,66,587,653
17115003000,3876,727,158,2010,702,164,143,1154,326,1480,3485,859,184,1915,697,233,170,1173,229,1402,3677,673,43,1748,594,170,186,1069,273,1342
17115002906,2763,581,0,0,347,704,198,598,925,1523,2841,730,145,1559,390,994,149,440,898,1338,2206,470,149,1036,305,766,340,360,1023,1383
17115002905,1880,75,0,0,270,255,69,180,318,498,1669,212,113,719,115,48,48,184,442,626,1932,194,3,905,207,171,34,188,360,548
17115002904,5291,1482,126,2430,1231,351,215,1704,514,2218,5394,1740,366,2672,1532,1203,124,1620,659,2279,4982,1594,129,2484,1215,485,162,1526,880,2406
17115002902,4385,1135,104,2230,1262,184,176,1458,578,2036,4304,1395,106,2170,1423,284,198,1433,486,1919,4601,1339,128,1921,852,517,52,1574,467,2041
17115002901,3914,681,86,1846,1305,365,14,1164,291,1455,4139,1069,99,1980,1639,172,34,1377,207,1584,3944,1026,76,1717,1406,328,54,1326,161,1487
17115002800,4334,871,206,2411,804,286,167,1516,203,1719,4301,1022,157,2410,858,341,147,1459,272,1731,4161,1124,143,2171,639,304,141,1382,267,1649
